dynamics,tau,alpha,k_equivalent,tracking_mse,tracking_rmse,tracking_mse_sd,tracking_mse_se,n_games,n_replications
ou,50,0.003650054037728276,0.6340793308936296,1.4721977700212985,1.213341571867254,0.06552007935012795,0.020719268322136913,40000,10
ou,50,0.004410409721777782,0.7661666420402187,1.4607177626329713,1.2086015731550954,0.06468557880310981,0.02045537607841354,40000,10
ou,50,0.005329157791334604,0.9257695287873359,1.4471774507330957,1.2029868871825227,0.06358914275469107,0.020108652556241752,40000,10
ou,50,0.006439293525204423,1.1186198581406475,1.431236489513845,1.1963429648365242,0.062304404540660094,0.019702382660902275,40000,10
ou,50,0.007780685565580791,1.3516435226224077,1.4125191996508635,1.1884945097268491,0.060940647181603344,0.019271124717858735,40000,10
ou,50,0.009401507732715982,1.633209171955721,1.390615895362509,1.1792437811421814,0.059610678210138324,0.01885055160114064,40000,10
ou,50,0.011359969105976928,1.9734287589268786,1.3650950893923528,1.16837283834928,0.058396561541535275,0.01846661419934449,40000,10
ou,50,0.013726404504213443,2.3845206930207357,1.3355323002182096,1.1556523267047965,0.05732611487506483,0.01812810924136637,40000,10
ou,50,0.016585800441495827,2.881248643876062,1.3015553303431666,1.1408572786914086,0.056367500150809886,0.017824968648644385,40000,10
ou,50,0.020040847273638366,3.481451753442788,1.262898089861133,1.1237873864130763,0.055440524588255186,0.01753183323734551,40000,10
ou,50,0.024215627148174927,4.206685298511579,1.219449976833954,1.1042870898611257,0.054436123756049025,0.017214213805991502,40000,10
ou,50,0.029260070204255792,5.082994811924018,1.171290161473458,1.0822615956752129,0.053234745278148865,0.016834304573784428,40000,10
ou,50,0.03535533905932737,6.141851463713753,1.118705054173523,1.0576885430851197,0.051720352775248564,0.016355411615719618,40000,10
ou,50,0.04272033495730271,7.421282294806062,1.0621950165041822,1.0306284570611188,0.04979335354743205,0.015746040954791027,40000,10
ou,50,0.05161955923550008,8.96723589370229,1.002476405850667,1.001237437299798,0.04738630863462906,0.014984866519313144,40000,10
ou,50,0.06237261244160289,10.835232562111297,0.9404788056127849,0.9697828651882775,0.04448128397088485,0.014066217059673496,40000,10
ou,50,0.07536567224531646,13.092358232427998,0.8773310659518578,0.936659525095356,0.04112270831212865,0.013004142182106495,40000,10
ou,50,0.09106536235445348,15.819673745223703,0.814329498735874,0.9024020715489709,0.03741856004796793,0.011832787651535802,40000,10
ou,50,0.11003551051404936,19.115126011863556,0.7528894384751657,0.8676920182156602,0.033526741071118776,0.010602086430744858,40000,10
ou,50,0.1329573974236247,23.09706561171913,0.6944918431399786,0.833361772065397,0.029630606418737,0.00937002047352138,40000,10
ou,50,0.16065422377811936,27.908497152514965,0.6406400636094546,0.8003999397860139,0.02591176153703922,0.008194018464418938,40000,10
ou,50,0.1941206741247779,33.722215038292155,0.5928364380799589,0.7699587249196926,0.02252660351023829,0.007123537503989713,40000,10
ou,50,0.23455863927177067,40.74700908738615,0.5525820387708441,0.7433586205667114,0.019590410921172804,0.006195031880954339,40000,10
